Date,Open,High,Low,Close,Adj Close,Volume
2016-02-09,168.179993,171.369995,167.970001,169.990005,148.328354,2360700
2016-02-10,170.929993,172.649994,169.720001,169.880005,148.232391,1953600
2016-02-11,167.259995,168.720001,166.050003,167.699997,146.330170,3439200
2016-02-12,169.539993,171.139999,168.699997,171.139999,149.331757,1800300
2016-02-16,173.199997,174.009995,172.050003,174.009995,151.836090,2361000
2016-02-17,175.320007,177.250000,175.119995,176.860001,154.322891,2265400
2016-02-18,177.199997,177.220001,175.800003,176.110001,153.668488,1646000
2016-02-19,175.279999,176.199997,174.649994,176.070007,153.633591,1136900
2016-02-22,177.779999,178.750000,177.710007,178.589996,155.832489,2603100
2016-02-23,177.919998,178.190002,176.220001,176.350006,153.877884,2076000
2016-02-24,174.789993,177.449997,173.600006,177.179993,154.602097,2599800
2016-02-25,177.699997,179.309998,176.830002,179.309998,156.460693,2546000
2016-02-26,180.199997,180.360001,178.740005,178.979996,156.172745,2560800
2016-02-29,178.940002,179.949997,177.380005,177.380005,154.776703,3128400
2016-03-01,178.839996,181.750000,178.330002,181.750000,158.589798,3041400
2016-03-02,181.360001,182.539993,180.910004,182.520004,159.261642,3839200
2016-03-03,182.270004,183.229996,181.699997,183.190002,159.846252,3150400
2016-03-04,183.449997,184.660004,182.550003,183.779999,160.361099,2821000
2016-03-07,182.850006,184.389999,182.750000,183.979996,160.535614,3449900
2016-03-08,182.830002,183.330002,181.779999,181.910004,158.729416,3385400
2016-03-09,182.850006,183.220001,182.009995,182.910004,159.601990,1641600
2016-03-10,183.380005,184.389999,181.029999,183.009995,159.689224,2090500
2016-03-11,184.570007,186.009995,184.460007,185.979996,162.280716,2231000
2016-03-14,185.399994,186.199997,185.070007,185.699997,162.036407,1412800
2016-03-15,184.699997,185.460007,184.419998,185.460007,161.827057,1325300
2016-03-16,184.880005,186.929993,184.860001,186.570007,162.795578,2700700
2016-03-17,186.419998,188.240005,186.000000,187.750000,163.825211,1937300
2016-03-18,188.350006,188.789993,187.910004,188.449997,164.436035,2623400
2016-03-21,187.179993,187.940002,186.910004,187.729996,164.686905,1535400
2016-03-22,186.889999,188.210007,186.710007,187.630005,164.599167,1521600
2016-03-23,187.179993,187.360001,186.179993,186.429993,163.546478,1633300
2016-03-24,185.250000,186.320007,185.009995,186.300003,163.432419,1874800
2016-03-28,186.759995,186.940002,185.919998,186.429993,163.546478,1271200
2016-03-29,185.990005,188.220001,185.630005,188.220001,165.116821,1604900
2016-03-30,189.169998,189.720001,188.580002,189.009995,165.809830,1908400
2016-03-31,188.850006,189.289993,188.320007,188.559998,165.415024,3007800
2016-04-01,187.399994,189.960007,187.100006,189.770004,166.476532,2971800
2016-04-04,189.740005,189.899994,188.830002,189.169998,165.950150,1259500
2016-04-05,187.740005,188.210007,187.000000,187.250000,164.265808,1737500
2016-04-06,187.389999,189.380005,187.089996,189.289993,166.055405,1860800
2016-04-07,188.169998,188.500000,186.259995,187.059998,164.099136,2635300
2016-04-08,188.309998,188.770004,186.990005,187.570007,164.546585,2043800
2016-04-11,188.259995,188.990005,187.029999,187.080002,164.116684,1355300
2016-04-12,187.289993,189.179993,186.830002,188.899994,165.713303,1590700
2016-04-13,189.880005,190.850006,189.710007,190.789993,167.371277,1972900
2016-04-14,190.839996,191.309998,190.410004,190.770004,167.353806,3214800
2016-04-15,190.800003,190.850006,190.220001,190.559998,167.169510,2059700
2016-04-18,189.990005,191.940002,189.850006,191.940002,168.380142,2345300
2016-04-19,192.360001,192.779999,191.639999,192.520004,168.888916,1633300
2016-04-20,192.600006,193.429993,192.050003,192.679993,169.029312,1636800
2016-04-21,192.699997,192.820007,191.369995,191.610001,168.090668,1814700
2016-04-22,191.300003,191.940002,190.690002,191.660004,168.134521,1863900
2016-04-25,191.070007,191.360001,190.350006,191.350006,167.862610,2368000
2016-04-26,191.720001,192.160004,191.139999,191.630005,168.108170,1715300
2016-04-27,191.210007,192.440002,190.800003,192.029999,168.459106,1971700
2016-04-28,191.220001,192.399994,189.850006,190.300003,166.941467,1578800
2016-04-29,189.619995,189.979996,188.050003,189.220001,165.994019,2785500
2016-05-02,189.809998,190.949997,189.339996,190.729996,167.318649,1638900
2016-05-03,189.440002,189.660004,188.279999,189.100006,165.888733,2351900
2016-05-04,187.990005,188.779999,187.470001,187.990005,164.914993,2079600
2016-05-05,188.570007,188.899994,187.570007,187.970001,164.897461,1611600
2016-05-06,187.210007,188.720001,187.000000,188.649994,165.494019,1551400
2016-05-09,188.550003,189.270004,188.360001,188.850006,165.669388,1569000
2016-05-10,189.610001,191.210007,189.539993,191.190002,167.722214,1021100
2016-05-11,190.710007,191.070007,189.389999,189.399994,166.151886,2725500
2016-05-12,190.139999,190.289993,188.360001,189.509995,166.248413,1783200
2016-05-13,189.100006,189.710007,187.460007,187.759995,164.713211,1658700
2016-05-16,187.979996,190.160004,187.929993,189.630005,166.353668,1075000
2016-05-17,189.350006,189.649994,187.330002,187.960007,164.888657,3327100
2016-05-18,187.500000,189.199997,186.779999,187.929993,164.862396,1942000
2016-05-19,187.149994,187.589996,185.970001,187.320007,164.327225,1796000
2016-05-20,187.970001,189.050003,187.899994,188.490005,165.353607,1588700
2016-05-23,188.479996,188.779999,188.020004,188.240005,165.134338,1415400
2016-05-24,189.130005,191.009995,189.080002,190.630005,167.230942,1985400
2016-05-25,191.380005,192.419998,191.360001,191.929993,168.371384,2006700
2016-05-26,192.139999,192.360001,191.679993,192.020004,168.450317,1225300
2016-05-27,192.190002,192.830002,192.160004,192.770004,169.108261,988600
2016-05-31,193.160004,193.270004,191.880005,192.539993,168.906525,2821900
2016-06-01,191.880005,193.059998,191.630005,192.899994,169.222336,2375500
2016-06-02,192.449997,193.479996,191.919998,193.479996,169.731125,1601700
2016-06-03,192.850006,193.259995,191.589996,192.919998,169.239822,1897100
2016-06-06,193.289993,194.240005,193.119995,193.850006,170.055695,1177600
2016-06-07,194.050003,194.779999,194.020004,194.199997,170.362686,1551200
2016-06-08,194.339996,194.949997,194.210007,194.839996,170.924179,1041100
2016-06-09,194.020004,194.690002,193.750000,194.539993,170.660995,1521600
2016-06-10,193.070007,193.429993,192.119995,192.669998,169.020508,1932900
2016-06-13,192.029999,192.970001,191.119995,191.220001,167.748505,2318200
2016-06-14,190.830002,191.449997,189.800003,190.800003,167.380096,2051200
2016-06-15,191.259995,191.960007,190.360001,190.520004,167.134445,1590700
2016-06-16,189.600006,191.330002,188.570007,191.139999,167.678329,2744400
2016-06-17,191.100006,191.100006,189.729996,190.429993,167.055466,1701000
2016-06-20,192.559998,193.259995,191.559998,191.649994,168.125732,1192800
2016-06-21,191.149994,191.649994,190.649994,191.240005,168.604446,1826500
2016-06-22,191.449997,192.210007,190.779999,190.919998,168.322342,2245900
2016-06-23,192.520004,193.440002,192.000000,193.389999,170.499985,2582200
2016-06-24,187.000000,189.820007,186.000000,186.339996,164.284424,10310500
2016-06-27,185.059998,185.059998,182.270004,183.050003,161.383881,7717000
2016-06-28,184.869995,186.440002,184.529999,186.429993,164.363785,4475900
2016-06-29,187.949997,189.860001,187.860001,189.639999,167.193832,4147800
